RegionID,RegionName,StateName,SizeRank,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02
3101,Los Angeles County,California,1,365700,367800,373900,388900,402900,413200,419500,423600,424300,427200,427100,4.27E+05,421900,423700,424700,429600,430900,430400,432600,432800,4.35E+05,436400,438200,442200,445800,452200,456500,458500,458500,460900,461900,465200,466700,468300,467100,474100,476400,480600,4.78E+05,484800,491700,494600,494500,494500,496300,4.94E+05,496500,4.96E+05,501900,496800,499300,499300,506900,510300,514200,517400,523800,532900,544600,552400,558500,563900,5.68E+05,568600,573400,577300,5.79E+05,578300,,,,,,
139,Cook County,Illinois,2,165500,162600,163800,162800,1.7E+05,181100,195500,202400,205100,206500,205300,205400,201800,208600,207200,206900,202300,2.05E+05,207600,211300,216200,219200,219400,215500,215700,217600,223500,225700,223700,218400,214400,205600,200900,194100,192100,188200,186900,187500,188400,191700,191200,192400,193300,198300,197700,1.98E+05,201100,206600,2.1E+05,211600,214500,215200,212400,206200,201900,201100,201400,2.05E+05,208900,214600,220200,228500,242100,243900,239800,232500,2.32E+05,230100,2.28E+05,228700,236900,229500,231400,237500
2402,Maricopa County,Arizona,3,143100,1.43E+05,145800,148400,151300,152900,1.56E+05,156600,157700,157700,1.57E+05,157900,158300,159900,159800,159600,159400,158100,159600,160300,164100,164100,165400,1.67E+05,167400,170300,1.72E+05,174900,176600,178600,180300,1.81E+05,182500,184100,186400,189500,1.91E+05,192500,1.93E+05,195500,198100,2E+05,2.01E+05,203100,204600,206900,210100,211400,214400,215500,218300,218400,218800,2.19E+05,221900,225300,228400,230700,234100,235800,239900,240600,240300,235700,2.33E+05,234700,239500,243500,244100,244100,243500,242700,244900,245400
2841,San Diego County,California,4,3.71E+05,372600,374200,385400,396900,404900,409700,410400,414200,413400,415900,417900,418700,419400,421600,4.26E+05,429600,429700,432500,435200,437600,439300,438100,436800,443300,448700,453100,448700,4.49E+05,453400,4.57E+05,459400,456900,458200,462800,468400,4.73E+05,472700,473500,476500,479700,480400,4.78E+05,4.82E+05,486200,494100,494100,4.97E+05,498700,505200,5.09E+05,510800,512600,517500,519400,521800,525400,528700,536700,540600,543900,545600,546400,554600,555700,5.59E+05,558100,561300,564900,562800,556800,553200,553200,558100
1286,Orange County,California,5,467200,477800,488800,507800,515200,519700,522200,525800,528800,5.27E+05,529300,535800,542500,549800,549500,548700,549500,5.49E+05,550500,5.5E+05,554300,563700,566100,566200,560800,568700,573800,579900,574800,580600,5.87E+05,593200,593800,590200,593600,597200,605700,606400,606400,606500,609100,611900,611900,619900,620200,618100,6.05E+05,598700,595400,596100,600200,604300,611800,614800,618100,615700,621600,637900,6.6E+05,6.73E+05,682100,694800,710800,709800,704300,697600,704400,7.07E+05,,,,,,
2964,Miami-Dade County,Florida,6,182600,188500,187300,189700,193400,198300,201100,204100,202700,198800,199800,199700,204600,195400,197100,198600,2.06E+05,205900,209100,208300,208800,208300,209500,213800,2.12E+05,214400,216800,218600,2.22E+05,222200,224200,221900,223300,224200,225600,225300,227500,231300,231600,2.33E+05,2.3E+05,232400,2.34E+05,239900,2.42E+05,246700,250200,252400,253500,252500,254300,255100,253800,252500,248900,253300,257500,260900,260400,260200,265600,268600,274400,270800,269600,266200,2.68E+05,271800,271600,276400,277300,2.83E+05,282100,
2832,Riverside County,California,7,226600,230600,234300,2.37E+05,242100,247700,251500,253700,257900,261900,267400,269100,2.75E+05,279300,280400,278100,278900,280800,282500,281300,282100,283600,285300,286700,288400,294200,295100,297500,294300,295500,296700,297800,300800,302200,303200,304400,306600,308900,310400,3.11E+05,3.12E+05,313100,313700,316900,321700,322400,321300,318300,319900,323200,324900,327300,326800,329600,332400,3.35E+05,3.37E+05,3.43E+05,347700,351400,357400,367500,368900,366400,3.64E+05,367500,366700,3.65E+05,3.7E+05,372200,375500,3.7E+05,372600,374600
3250,San Bernardino County,California,8,178200,175600,178700,1.82E+05,189300,1.94E+05,196300,200700,209500,218900,219600,219700,218800,223400,221800,224600,226500,230800,231600,232200,2.32E+05,234800,237600,2.4E+05,2.4E+05,241400,244900,2.48E+05,247200,246500,248100,255100,257700,256400,255500,256800,260300,261700,263200,262800,264200,263700,267100,2.66E+05,275500,273700,275200,2.68E+05,266800,266700,268600,273200,276600,2.79E+05,279100,280800,286300,296500,303200,3.05E+05,308700,315600,3.21E+05,323700,321600,323700,321900,322600,324300,326500,322600,315900,314800,322100
445,Clark County,Nevada,9,139600,141600,145200,1.49E+05,152500,158500,162100,165200,164100,1.65E+05,166700,168700,169600,171600,1.74E+05,175800,175700,169900,169800,172300,1.8E+05,182400,1.83E+05,184500,185500,191100,190900,192100,188500,189800,191600,193600,194900,194100,195100,195300,199600,203600,205200,203900,202200,204300,205400,205100,203600,205600,208800,210300,212300,214500,219800,221200,223600,229600,233700,234200,232800,235400,238600,241600,245300,251200,2.59E+05,263800,271100,278700,280900,2.8E+05,277900,282200,285700,287300,286600,2.85E+05
207,King County,Washington,10,361700,359600,362600,363800,366800,3.65E+05,372800,373900,380900,381400,382800,378700,380800,380300,380800,375400,373100,375800,381900,383100,386900,388300,391600,389400,390500,394700,397100,4.05E+05,406300,409500,402300,406900,408400,4.15E+05,416500,425200,433500,437900,4.38E+05,438600,440400,446200,442100,442600,441300,450400,460600,469200,478300,481200,488800,497700,509700,516600,521800,5.29E+05,533600,541600,544500,553400,557200,5.64E+05,576900,593200,601900,594200,5.77E+05,567500,568600,575700,577700,575700,578100,587600
2049,Tarrant County,Texas,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171300,177200,178200,177800,173600,174800,175700,176600,177900,179100,182600,185300,186700,185900,184200,185700,187200,189400,190800,191700,192800,195800,2E+05,200800,2E+05,198300,200200,201900,202900,202800,203300,203700,206300,208300,210800,212100,215300,218700,2.21E+05,216800,217900,217700,220100,216500,217100,
3136,Santa Clara County,California,12,625100,630900,633200,633500,645500,653900,658100,662700,666600,666500,665300,669600,687900,698100,707800,708800,712400,716600,711500,720900,724300,734100,737500,746600,752100,760300,764800,771100,781500,792900,808200,824400,826500,8.26E+05,821700,835500,840200,844900,842500,849800,853600,853900,858700,856500,861800,865600,872400,872100,874600,883300,897500,900900,904800,914600,923800,937500,957900,989100,1012400,1065700,1106900,1153600,1178900,1178800,1.183E+06,1152200,1140600,1136800,1123600,1.141E+06,1111900,1100700,1077100,1067200
1561,Broward County,Florida,13,138500,141600,139900,140700,142900,146300,149600,152700,155800,157700,158300,159300,160300,161500,1.62E+05,160900,161300,162600,165400,165300,167500,168700,174300,177500,178300,179300,180300,184300,1.88E+05,189500,192700,192600,191500,189500,186600,187900,191100,197200,201600,202100,202800,203300,203200,202100,205500,209400,212200,211500,210800,212900,215800,220800,2.21E+05,222900,2.21E+05,226300,225500,228100,2.29E+05,232400,235300,236100,238800,241700,242200,241700,237800,238800,236500,241300,247300,254800,253200,255600
386,Bexar County,Texas,14,,,,,,,,,,,,,,,,,,169100,1.69E+05,169400,170600,170700,1.72E+05,172400,175100,1.74E+05,175400,175300,177600,178600,178800,179200,178600,180100,179400,180800,179900,178800,179800,181600,183900,182900,183100,184200,185700,185100,185300,184200,183900,184500,183900,183600,183500,186600,187600,187900,1.87E+05,188200,189500,191200,1.92E+05,190800,191300,193700,196400,197100,195800,196400,199100,202800,205800,203800,201500,
2452,New York County,New York,15,728300,6.91E+05,700100,704600,698100,683400,706600,742600,758700,749200,738100,746500,7.39E+05,759200,7.51E+05,741300,748800,755300,7.79E+05,770500,759100,765400,766900,774300,758300,768600,767600,7.96E+05,790100,794600,786800,813300,857400,945100,988600,997400,9.56E+05,1027700,1088200,1077400,9.79E+05,960600,954400,963500,943900,960600,973200,915600,888700,880900,941500,996200,1040700,1059900,1055600,996800,986100,969500,971900,982100,1033500,1045400,1023300,1005400,1006600,9.79E+05,9.31E+05,948500,995700,1072200,1059800,1022500,959800,986500
3175,Philadelphia County,Pennsylvania,16,1.15E+05,111900,106600,106600,108600,112800,1.15E+05,115400,1.16E+05,116800,117500,119100,119200,120800,1.25E+05,123700,122600,118300,117600,119500,118900,121700,119300,119700,118100,112600,113900,114200,118600,119900,120200,120800,123100,127500,1.28E+05,123500,127500,128400,128300,120300,121500,122400,125100,125400,130100,128800,131300,130800,133300,134700,136100,139500,141500,144300,144200,145900,145800,146400,148700,149600,153100,1.47E+05,144200,139500,144100,143400,143200,140800,1.44E+05,147200,152500,155500,156200,
1510,Alameda County,California,17,427100,434700,441700,447400,457500,471700,487600,496800,504600,510800,514700,516300,517500,528900,532300,536500,535700,542900,549600,562900,563900,561800,558800,562200,567300,572400,5.86E+05,604400,609500,610500,608500,614300,620100,625100,624100,634200,639700,666400,659300,658700,6.46E+05,6.51E+05,651300,648200,653700,658500,674200,677800,6.87E+05,706200,719100,723900,699900,698600,701200,709700,716500,730200,7.43E+05,755700,769900,797700,800700,801100,794300,804100,806500,8.02E+05,803500,801800,801500,795100,793700,820900
2801,Middlesex County,Massachusetts,18,356700,351600,356400,362800,370600,373800,372700,377800,379100,386800,382800,379700,384700,390100,393200,386600,3.93E+05,397500,403600,400300,401900,4.02E+05,406500,406500,414100,417200,420500,412700,411300,410200,4.15E+05,415600,415800,415700,418800,424200,425600,427600,423100,426300,426200,434400,4.39E+05,4.42E+05,441700,432200,436900,439400,447800,4.48E+05,451500,457400,459100,456100,454300,459500,466800,468900,467600,473500,482100,491200,491700,493300,4.9E+05,495600,497600,5.01E+05,495800,492700,492700,493600,502300,
2046,Suffolk County,New York,19,343800,348400,347200,344100,346900,347600,345900,344300,345400,349100,350300,350200,347600,343700,341400,342800,340900,340600,341200,344400,3.42E+05,337700,340200,3.43E+05,352400,354300,357500,355300,352800,355400,3.51E+05,349200,345700,346300,348300,348300,349400,350900,349400,348700,350200,352300,355400,355100,355500,356900,356200,358100,355900,357100,359700,362200,362300,3.58E+05,361800,363600,367200,364600,3.6E+05,357200,355100,361300,3.69E+05,377100,382600,381600,381700,388700,388900,381900,365500,362600,361200,
